X Y TOP_RDG BOTTOM_RDG VRT_GRAD TIME DATE LINE MARK
8 2 29618.1 29623.3 8.525 10:25:55.00 10/05/22 9 164
8 1 29617.8 29625.3 12.295 10:25:37.00 10/05/22 9 162
8 0 29625.3 29630.4 8.361 10:25:21.00 10/05/22 9 160
7 9 29626.1 29628.2 3.443 10:23:53.00 10/05/22 8 158
7 8 29623.5 29625.8 3.77 10:23:35.00 10/05/22 8 156
7 7 29622.4 29624.9 4.098 10:23:19.00 10/05/22 8 154
7 6 29622.6 29623.6 1.639 10:23:03.00 10/05/22 8 152
7 5 29622.5 29624.1 2.623 10:22:48.00 10/05/22 8 150
7 4 29620.3 29623.5 5.246 10:22:33.00 10/05/22 8 148
7 3 29617 29621.4 7.213 10:22:17.00 10/05/22 8 146
7 2 29613.9 29619.6 9.344 10:22:01.00 10/05/22 8 144
7 1 29612.4 29621.3 14.59 10:21:45.00 10/05/22 8 142
7 0 29621.4 29630.6 15.082 10:21:29.00 10/05/22 8 140
6 9 29622.4 29625.4 4.918 10:20:55.00 10/05/22 7 138
6 8 29616 29621.6 9.18 10:20:37.00 10/05/22 7 136
6 7 29613.1 29619.3 10.164 10:20:21.00 10/05/22 7 134
6 6 29613.7 29618.7 8.197 10:20:05.00 10/05/22 7 132
6 5 29615.2 29618.1 4.754 10:19:48.00 10/05/22 7 130
6 4 29615 29617.4 3.934 10:19:33.00 10/05/22 7 128
6 3 29612.8 29616.9 6.721 10:19:16.00 10/05/22 7 126
6 2 29608.3 29614.4 10 10:19:00.00 10/05/22 7 124
6 1 29603.7 29613.4 15.902 10:18:38.00 10/05/22 7 122
6 0 29608.9 29620.2 18.525 10:18:22.00 10/05/22 7 120
5 9 29616.9 29619.9 4.918 10:16:40.00 10/05/22 6 118
5 8 29610.3 29615.9 9.18 10:16:25.00 10/05/22 6 116
5 7 29607.7 29613.5 9.508 10:16:08.00 10/05/22 6 114
5 6 29608.7 29614.8 10 10:15:50.00 10/05/22 6 112
5 5 29610.6 29614.2 5.902 10:15:33.00 10/05/22 6 110
5 4 29611.2 29614.2 4.918 10:15:12.00 10/05/22 6 108
5 3 29608.7 29612.2 5.738 10:14:57.00 10/05/22 6 106
5 2 29604.2 29610.9 10.984 10:14:39.00 10/05/22 6 104
5 1 29598.6 29609.5 17.869 10:14:21.00 10/05/22 6 102
5 0 29602.7 29615.7 21.311 10:14:03.00 10/05/22 6 100
4 9 29617 29620.5 5.738 10:11:23.00 10/05/22 5 98
4 8 29612 29617.6 9.18 10:11:07.00 10/05/22 5 96
4 7 29608.5 29615.2 10.984 10:10:52.00 10/05/22 5 94
4 6 29609.2 29614.6 8.852 10:10:36.00 10/05/22 5 92
4 5 29611.1 29616.2 8.361 10:10:21.00 10/05/22 5 90
4 4 29612.3 29615.7 5.574 10:10:06.00 10/05/22 5 88
4 3 29609.7 29613.6 6.393 10:09:49.00 10/05/22 5 86
4 2 29603.3 29610.2 11.311 10:09:27.00 10/05/22 5 84
4 1 29597.3 29608.4 18.197 10:09:03.00 10/05/22 5 82
4 0 29598 29610.3 20.164 10:08:42.00 10/05/22 5 80
3 9 29616.7 29621.9 8.525 10:06:39.00 10/05/22 4 78
3 8 29613.7 29617.7 6.557 10:06:25.00 10/05/22 4 76
3 7 29610.9 29614.7 6.23 10:06:11.00 10/05/22 4 74
3 6 29611 29617.7 10.984 10:05:57.00 10/05/22 4 72
3 5 29613 29616.1 5.082 10:05:41.00 10/05/22 4 70
3 4 29611.2 29613 2.951 10:05:24.00 10/05/22 4 68
3 3 29609.3 29613.4 6.721 10:05:10.00 10/05/22 4 66
3 2 29603.9 29611.3 12.131 10:04:51.00 10/05/22 4 64
3 1 29597.2 29607.7 17.213 10:04:35.00 10/05/22 4 62
3 0 29595.6 29606.5 17.869 10:04:19.00 10/05/22 4 60
2 9 29617.6 29621.1 5.738 10:02:32.00 10/05/22 3 58
2 8 29616.8 29621.7 8.033 10:02:03.00 10/05/22 3 56
2 7 29615.3 29618.1 4.59 10:01:43.00 10/05/22 3 54
2 6 29616.1 29619.1 4.918 10:01:24.00 10/05/22 3 52
2 5 29615.1 29617 3.115 10:01:06.00 10/05/22 3 50
2 4 29613.1 29616.2 5.082 10:00:49.00 10/05/22 3 48
2 3 29608.3 29610 2.787 10:00:32.00 10/05/22 3 46
2 2 29600.9 29607.1 10.164 10:00:12.00 10/05/22 3 44
2 1 29595.4 29603 12.459 09:59:54.00 10/05/22 3 42
2 0 29593.1 29603.5 17.049 09:59:38.00 10/05/22 3 40
1 9 29619.5 29621.7 3.607 09:58:44.00 10/05/22 2 38
1 8 29619.3 29621.4 3.443 09:58:27.00 10/05/22 2 36
1 7 29618.3 29621.3 4.918 09:58:09.00 10/05/22 2 34
1 6 29618.1 29619.3 1.967 09:57:50.00 10/05/22 2 32
1 5 29617.5 29616.9 -0.984 09:57:34.00 10/05/22 2 30
1 4 29614.1 29614.7 0.984 09:57:16.00 10/05/22 2 28
1 3 29608.5 29609 0.82 09:56:59.00 10/05/22 2 26
1 2 29601.3 29607.5 10.164 09:56:42.00 10/05/22 2 24
1 1 29593.7 29600.5 11.148 09:56:17.00 10/05/22 2 22
1 0 29592.9 29601.2 13.607 09:55:59.00 10/05/22 2 20
0 9 29622.1 29619.7 -3.934 09:54:56.00 10/05/22 1 18
0 8 29620.5 29623 4.098 09:54:32.00 10/05/22 1 16
0 7 29618.6 29621.9 5.41 09:54:13.00 10/05/22 1 14
0 6 29618 29618 0 09:53:55.00 10/05/22 1 12
0 5 29616.6 29614.6 -3.279 09:53:37.00 10/05/22 1 10
0 4 29612.9 29612.5 -0.656 09:53:17.00 10/05/22 1 8
0 3 29606.7 29609.9 5.246 09:52:57.00 10/05/22 1 6
0 2 29597.6 29608.2 17.377 09:52:31.00 10/05/22 1 4
0 1 29591 29602.2 18.361 09:52:13.00 10/05/22 1 2
0 0 29592.5 29604.4 19.508 09:51:56.00 10/05/22 1 0
49 89 29698.9 29701 3.443 10:44:50.00 12/01/22 51 998
49 88 29686.6 29693 10.492 10:44:40.00 12/01/22 51 996
49 87 29676.8 29683.9 11.639 10:44:30.00 12/01/22 51 994
49 86 29673.2 29678.6 8.852 10:44:20.00 12/01/22 51 992
49 85 29669.3 29675.9 10.82 10:44:10.00 12/01/22 51 990
49 84 29666.6 29672.5 9.672 10:44:01.00 12/01/22 51 988
49 83 29664.9 29670.9 9.836 10:43:51.00 12/01/22 51 986
49 82 29664.3 29671.4 11.639 10:43:42.00 12/01/22 51 984
49 81 29666.5 29674 12.295 10:43:32.00 12/01/22 51 982
49 80 29675.4 29679.1 6.066 10:43:22.00 12/01/22 51 980
48 89 29706.9 29704.7 -3.607 10:43:01.00 12/01/22 50 978
48 88 29690 29694.4 7.213 10:42:51.00 12/01/22 50 976
48 87 29679.2 29684.7 9.016 10:42:42.00 12/01/22 50 974
48 86 29668.8 29678 15.082 10:42:33.00 12/01/22 50 972
48 85 29667.3 29673.6 10.328 10:42:23.00 12/01/22 50 970
48 84 29663.2 29670.7 12.295 10:42:12.00 12/01/22 50 968
48 83 29664.4 29670.3 9.672 10:42:02.00 12/01/22 50 966
48 82 29666.8 29671.9 8.361 10:41:50.00 12/01/22 50 964
48 81 29671.6 29675.5 6.393 10:41:40.00 12/01/22 50 962
48 80 29674.8 29680.4 9.18 10:41:30.00 12/01/22 50 960
47 89 29709.9 29707.4 -4.098 10:40:52.00 12/01/22 49 958
47 88 29692.4 29695.4 4.918 10:40:41.00 12/01/22 49 956
47 87 29674.5 29684.6 16.557 10:40:31.00 12/01/22 49 954
47 86 29667.2 29674.5 11.967 10:40:20.00 12/01/22 49 952
47 85 29660.2 29669.3 14.918 10:40:09.00 12/01/22 49 950
47 84 29656.4 29666.7 16.885 10:40:00.00 12/01/22 49 948
47 83 29656.8 29667.1 16.885 10:39:50.00 12/01/22 49 946
47 82 29664.8 29670.2 8.852 10:39:40.00 12/01/22 49 944
47 81 29672.4 29675.1 4.426 10:39:30.00 12/01/22 49 942
47 80 29676.4 29680.7 7.049 10:39:21.00 12/01/22 49 940
46 89 29714 29708.6 -8.852 10:39:01.00 12/01/22 48 938
46 88 29691.2 29694 4.59 10:38:50.00 12/01/22 48 936
46 87 29672.8 29682 15.082 10:38:40.00 12/01/22 48 934
46 86 29660.6 29670.9 16.885 10:38:31.00 12/01/22 48 932
46 85 29654.1 29665.2 18.197 10:38:19.00 12/01/22 48 930
46 84 29650.3 29661.7 18.689 10:38:09.00 12/01/22 48 928
46 83 29653.2 29664.3 18.197 10:38:00.00 12/01/22 48 926
46 82 29662.4 29668.5 10 10:37:50.00 12/01/22 48 924
46 81 29670.7 29674.2 5.738 10:37:36.00 12/01/22 48 922
46 80 29675.8 29680.3 7.377 10:37:22.00 12/01/22 48 920
45 89 29715.2 29713.6 -2.623 10:36:41.00 12/01/22 47 918
45 88 29688.3 29696.9 14.098 10:36:29.00 12/01/22 47 916
45 87 29668.6 29680.2 19.016 10:36:20.00 12/01/22 47 914
45 86 29655.8 29667.1 18.525 10:36:10.00 12/01/22 47 912
45 85 29642.1 29660 29.344 10:35:59.00 12/01/22 47 910
45 84 29645.2 29656.9 19.18 10:35:49.00 12/01/22 47 908
45 83 29648.2 29659.5 18.525 10:35:38.00 12/01/22 47 906
45 82 29658.4 29665.6 11.803 10:35:28.00 12/01/22 47 904
45 81 29666.7 29672.7 9.836 10:35:18.00 12/01/22 47 902
